Currency,CurveName,Instrument,ValuationDate,Tenor,Value,Type,Category,CreationDate
USD,USD_3M,USD_STUB:CASH,6/26/2018,9/16/2018,0.0169645,Cash,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTUREDec-14-20,6/26/2018,12/14/2020,97.5381,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTUREDec-16-19,6/26/2018,12/16/2019,97.638,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTUREDec-17-18,6/26/2018,12/17/2018,97.9701,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTUREJun-14-21,6/26/2018,6/18/2021,97.5116,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTUREJun-15-20,6/26/2018,6/15/2020,97.5582,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTUREJun-17-19,6/26/2018,6/17/2019,97.7407,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTUREMar-14-21,6/26/2018,3/19/2021,97.5288,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTUREMar-16-20,6/26/2018,3/16/2020,97.6068,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTUREMar-18-19,6/26/2018,3/18/2019,97.8503,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTURESep-14-20,6/26/2018,9/14/2020,97.5479,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTURESep-16-19,6/26/2018,9/16/2019,97.6894,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:FUTURESep-17-18,6/26/2018,9/17/2018,98.16,Future,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP10Y,6/26/2018,10Y,0.0254225,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP12Y,6/26/2018,12Y,0.025835,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP15Y,6/26/2018,15Y,0.0262187,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP20Y,6/26/2018,20Y,0.0266025,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP25Y,6/26/2018,25Y,0.0266613,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP30Y,6/26/2018,30Y,0.0265825,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP40Y,6/26/2018,40Y,0.0264075,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP4Y,6/26/2018,4Y,0.0235625,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP50Y,6/26/2018,50Y,0.025995,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP5Y,6/26/2018,5Y,0.0239375,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP6Y,6/26/2018,6Y,0.0242875,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP7Y,6/26/2018,7Y,0.0246,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP8Y,6/26/2018,8Y,0.0248992,Swap,Base,8/20/2018
USD,USD_3M,USD_STUB:SWAP9Y,6/26/2018,9Y,0.0251733,Swap,Base,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS10Y,6/26/2018,10Y,-0.0013,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS12Y,6/26/2018,12Y,-0.0009875,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS15Y,6/26/2018,15Y,-0.001025,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS18M,6/26/2018,18M,-0.001425,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS1Y,6/26/2018,1Y,-0.00135,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS20Y,6/26/2018,20Y,-0.00105,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS10Y,6/26/2018,10Y,0.0007125,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS18M,6/26/2018,18M,0.0009875,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS1Y,6/26/2018,1Y,0.0010125,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS20Y,6/26/2018,20Y,0.0007625,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS25Y,6/26/2018,25Y,0.0008375,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS2Y,6/26/2018,2Y,0.0009625,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS30Y,6/26/2018,30Y,0.000925,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS3M,6/26/2018,3M,0.00115,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS3Y,6/26/2018,3Y,0.0009125,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS4Y,6/26/2018,4Y,0.000875,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS5Y,6/26/2018,5Y,0.00085,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS6M,6/26/2018,6M,0.0010375,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS7Y,6/26/2018,7Y,0.0007875,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:BASIS9M,6/26/2018,9M,0.0010375,Basis,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:CASH1M,6/26/2018,1M,0.0155947,Cash,Basis,8/20/2018
USD,USD_1M_BASIS,USD_1M_BASIS:CASH2D,6/26/2018,2D,0.0158161,Cash,Basis,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS10Y,6/26/2018,10Y,-0.003163,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS12Y,6/26/2018,12Y,-0.003275,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS15Y,6/26/2018,15Y,-0.003388,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS20Y,6/26/2018,20Y,-0.003525,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS25Y,6/26/2018,25Y,-0.003575,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS2Y,6/26/2018,2Y,-0.002425,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS30Y,6/26/2018,30Y,-0.003613,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS3Y,6/26/2018,3Y,-0.002538,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS40Y,6/26/2018,40Y,-0.003613,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS4Y,6/26/2018,4Y,-0.002625,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS50Y,6/26/2018,50Y,-0.003613,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS5Y,6/26/2018,5Y,-0.002725,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:BASIS7Y,6/26/2018,7Y,-0.002913,Basis,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:CASH1D,6/26/2018,1D,0.0142,Cash,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREApr-19,6/26/2018,4/28/2019,98.07,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREAug-18,6/26/2018,8/31/2018,98.52,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREAug-19,6/26/2018,8/31/2019,97.965,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREDec-18,6/26/2018,12/31/2018,98.215,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREFeb-19,6/26/2018,2/28/2019,98.19,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJan-19,6/26/2018,1/31/2019,98.195,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJul-18,6/26/2018,7/31/2018,98.58,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJul-19,6/26/2018,7/31/2019,97.985,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJun-18,6/26/2018,6/29/2018,98.5875,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJun-19,6/26/2018,6/30/2019,97.99,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREMar-19,6/26/2018,3/29/2019,98.08,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREMay-19,6/26/2018,5/31/2019,98.04,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTURENov-18,6/26/2018,11/30/2018,98.28,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREOct-18,6/26/2018,10/31/2018,98.365,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTURESep-18,6/26/2018,9/28/2018,98.37,Future,OIS,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS25Y,6/26/2018,25Y,-0.000775,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS2Y,6/26/2018,2Y,-0.0009125,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS30Y,6/26/2018,30Y,-0.001125,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS3Y,6/26/2018,3Y,-0.000825,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS4Y,6/26/2018,4Y,-0.0014375,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS5Y,6/26/2018,5Y,-0.0013625,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS6M,6/26/2018,6M,-0.00125,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS7Y,6/26/2018,7Y,-0.0009375,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:CASH2D,6/26/2018,2D,0.0177411,Cash,Basis,8/20/2018
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
